,true,optimal,backpack,backpack_relaxed
0,11,46.4,12.0,11.8
1,21,44.5,23.1,21.5
2,31,65.3,34.0,32.0
3,41,52.4,44.9,41.6
4,51,72.4,54.7,50.7
5,61,81.3,66.9,60.8
6,71,113.9,77.6,70.5
7,81,135.6,89.1,82.2
8,91,156.2,98.7,90.6
9,101,177.5,112.0,105.0
10,111,201.4,124.1,113.6
11,121,153.5,133.1,122.9
12,131,175.7,143.7,132.7
13,141,211.1,153.4,140.8
14,151,259.8,169.0,155.8
15,161,256.9,174.1,164.4
16,171,279.6,187.5,173.3
17,181,303.0,202.4,183.5
18,191,178.1,210.8,191.4
19,201,309.5,218.1,198.1
20,211,321.2,235.7,216.6
21,221,235.9,244.1,222.4
22,231,245.2,252.7,232.9
23,241,300.9,260.8,240.5
24,251,369.2,272.8,252.3
25,261,255.9,279.1,255.9
26,271,284.1,292.7,272.1
27,281,310.6,306.2,279.7
28,291,353.8,321.7,299.6
29,301,377.7,328.0,300.3
30,311,387.6,338.0,315.6
31,321,448.2,354.7,325.1
32,331,357.6,357.4,327.0
33,341,387.4,383.3,349.1
34,351,467.2,388.0,352.3
35,361,494.4,389.2,354.4
36,371,365.5,409.6,375.0
37,381,430.8,415.0,383.4
38,391,440.1,430.8,396.2
39,401,525.0,440.8,405.8
40,411,555.2,446.6,415.4
41,421,449.2,455.6,412.4
42,431,445.4,474.9,446.3
43,441,451.3,479.9,445.7
44,451,455.7,497.1,455.6
45,461,446.8,502.1,456.7
46,471,516.4,509.2,465.8
47,481,589.6,524.1,482.2
48,491,453.1,525.4,479.7
49,501,485.7,539.5,501.5
50,511,586.1,558.1,515.4
51,521,658.8,567.2,512.4
52,531,689.7,571.6,528.8
53,541,700.9,589.5,543.1
54,551,711.0,604.9,556.3
55,561,544.6,612.4,561.5
56,571,596.8,635.3,572.4
57,581,654.3,642.2,587.8
58,591,687.9,652.8,594.7
59,601,747.5,664.9,608.8
60,611,614.2,671.7,600.3
61,621,622.5,684.4,625.4
62,631,630.6,680.7,618.7
63,641,719.8,705.8,646.1
64,651,828.5,713.0,655.3
65,661,611.1,735.7,668.2
66,671,677.3,718.3,676.7
67,681,735.0,756.7,692.8
68,691,824.3,745.8,679.7
69,701,888.2,775.2,712.3
70,711,682.9,775.7,711.1
71,721,779.5,796.8,725.2
72,731,894.5,784.7,717.8
73,741,683.4,811.7,732.6
74,751,782.2,826.1,759.8
75,761,842.8,824.0,760.0
76,771,860.5,842.0,776.8
77,781,726.9,848.5,782.8
78,791,729.8,878.6,793.1
79,801,744.5,870.7,793.0
80,811,746.1,882.6,812.2
81,821,761.8,902.6,824.0
82,831,769.1,907.8,846.1
83,841,773.1,928.5,839.9
84,851,780.7,929.3,851.2
85,861,784.9,942.6,854.2
86,871,806.7,962.3,885.5
87,881,814.5,945.4,880.1
88,891,820.9,982.2,894.7
89,901,835.7,976.3,902.0
90,911,838.2,1007.6,913.7
91,921,846.5,997.1,917.7
92,931,862.0,1014.8,923.5
93,941,868.6,1011.3,937.1
94,951,872.5,1049.6,946.4
95,961,878.6,1067.4,958.1
96,971,896.6,1070.7,988.2
97,981,905.3,1085.7,982.1
98,991,920.4,1066.4,986.1
99,1001,923.0,1088.6,1007.7
