,true,optimal,backpack,backpack_relaxed
167,505,6.4408,0.0058,0.0053
168,508,8.7729,0.0067,0.0063
169,511,21.0510,0.0065,0.0059
170,514,12.6079,0.0062,0.0059
171,517,9.3640,0.0060,0.0054
172,520,14.4637,0.0077,0.0073
173,523,13.2066,0.0067,0.0079
174,526,8.1022,0.0072,0.0070
175,529,10.6381,0.0065,0.0062
176,532,8.7944,0.0088,0.0089
177,535,8.7136,0.0073,0.0065
178,538,17.3706,0.0061,0.0060
179,541,4.9996,0.0068,0.0059
180,544,11.0934,0.0062,0.0064
181,547,12.0029,0.0084,0.0077
182,550,7.3642,0.0059,0.0053
183,553,23.0796,0.0062,0.0061
184,556,8.9824,0.0071,0.0069
185,559,13.3401,0.0074,0.0067
186,562,32.6341,0.0079,0.0077
187,565,24.9165,0.0091,0.0081
188,568,3.5208,0.0070,0.0060
189,571,16.7243,0.0068,0.0059
190,574,8.0811,0.0074,0.0066
191,577,12.0070,0.0072,0.0078
192,580,2.9990,0.0090,0.0075
193,583,8.6044,0.0092,0.0124
194,586,11.5251,0.0236,0.0126
195,589,9.8373,0.0072,0.0071
196,592,13.3136,0.0100,0.0096
197,595,10.4988,0.0070,0.0066
198,598,19.1349,0.0084,0.0077
199,601,4.9521,0.0090,0.0085
200,604,20.0894,0.0124,0.0103
201,607,9.3602,0.0079,0.0082
202,610,14.4914,0.0082,0.0075
203,613,5.2726,0.0091,0.0076
204,616,13.0988,0.0088,0.0090
205,619,12.1545,0.0086,0.0091
206,622,15.8774,0.0109,0.0110
207,625,34.3699,0.0095,0.0093
208,628,12.3349,0.0087,0.0080
209,631,6.3415,0.0109,0.0107
210,634,3.5453,0.0083,0.0103
211,637,12.4119,0.0080,0.0074
212,640,11.3475,0.0092,0.0086
213,643,11.5608,0.0134,0.0111
214,646,11.8278,0.0107,0.0101
215,649,14.4399,0.0115,0.0101
216,652,8.5447,0.0099,0.0085
217,655,7.9130,0.0187,0.0131
218,658,20.6578,0.0099,0.0098
219,661,11.3544,0.0121,0.0111
220,664,8.6362,0.0104,0.0092
221,667,26.3827,0.0116,0.0108
222,670,6.3041,0.0171,0.0132
223,673,17.1307,0.0112,0.0119
224,676,24.8034,0.0103,0.0096
225,679,13.9997,0.0092,0.0088
226,682,14.3887,0.0118,0.0106
227,685,24.4734,0.0261,0.0138
228,688,10.5917,0.0119,0.0157
229,691,24.0224,0.0100,0.0095
230,694,14.7560,0.0114,0.0107
231,697,15.2772,0.0202,0.0174
232,700,25.3780,0.0121,0.0120
233,703,25.0368,0.0108,0.0106
234,706,11.5959,0.0099,0.0109
235,709,23.4994,0.0203,0.0184
236,712,22.7022,0.0095,0.0123
237,715,13.3350,0.0126,0.0124
238,718,18.3295,0.0410,0.0159
239,721,27.2082,0.0142,0.0134
240,724,15.7989,0.0137,0.0125
241,727,20.3548,0.0153,0.0155
242,730,18.1099,0.0131,0.0112
243,733,11.8190,0.0155,0.0150
244,736,8.4632,0.0132,0.0176
245,739,24.1602,0.0153,0.0145
246,742,13.1471,0.0309,0.0165
247,745,3.7073,0.0127,0.0124
248,748,7.3748,0.0146,0.0126
249,751,11.9651,0.0274,0.0189
250,754,18.0920,0.0124,0.0121
251,757,8.6521,0.0117,0.0106
252,760,5.8901,0.0140,0.0194
253,763,12.6455,0.0145,0.0131
254,766,4.7827,0.0143,0.0128
255,769,6.9681,0.0140,0.0155
256,772,23.9747,0.0133,0.0124
257,775,12.0234,0.0153,0.0148
258,778,8.6188,0.0139,0.0125
259,781,22.6948,0.0151,0.0139
260,784,7.1998,0.0141,0.0146
261,787,10.8613,0.0217,0.0174
262,790,15.5829,0.0182,0.0194
263,793,16.9379,0.0248,0.0223
264,796,10.8576,0.0132,0.0113
265,799,5.1766,0.0125,0.0115
266,802,18.9544,0.0168,0.0186
267,805,6.5221,0.0215,0.0185
268,808,8.9655,0.0170,0.0157
269,811,10.9720,0.0147,0.0164
270,814,9.7521,0.0167,0.0203
271,817,7.1328,0.0212,0.0225
272,820,7.7068,0.0314,0.0278
273,823,12.0218,0.0134,0.0167
274,826,9.1306,0.0244,0.0138
275,829,41.5534,0.0192,0.0217
276,832,4.5412,0.0150,0.0137
277,835,10.6214,0.0485,0.0218
278,838,9.6363,0.0243,0.0216
279,841,20.5081,0.0503,0.0346
280,844,8.9991,0.0217,0.0244
281,847,14.2753,0.0220,0.0212
282,850,10.4269,0.0335,0.0190
283,853,13.5556,0.0213,0.0265
284,856,5.8125,0.0159,0.0180
285,859,17.6372,0.0335,0.0212
286,862,7.6506,0.0219,0.0213
287,865,17.1874,0.0206,0.0250
288,868,7.6777,0.0304,0.0224
289,871,11.9600,0.0191,0.0179
290,874,13.6454,0.0172,0.0169
291,877,8.3956,0.0169,0.0150
292,880,16.3104,0.0784,0.0260
293,883,13.5844,0.0195,0.0231
294,886,36.4021,0.0176,0.0158
295,889,14.5136,0.0385,0.0407
296,892,3.8252,0.0255,0.0349
297,895,27.3835,0.0228,0.0248
298,898,20.2153,0.0674,0.0247
299,901,9.8575,0.0176,0.0179
300,904,6.4063,0.0253,0.0232
301,907,14.9661,0.0243,0.0232
302,910,8.2120,0.0407,0.0232
303,913,11.6828,0.0228,0.0231
304,916,20.1782,0.0172,0.0218
305,919,17.2662,0.0233,0.0199
306,922,5.1747,0.0245,0.0246
307,925,9.1972,0.0201,0.0196
308,928,11.4009,0.0237,0.0257
309,931,14.0587,0.0309,0.0192
310,934,6.7610,0.0680,0.0267
311,937,30.4377,0.0187,0.0174
312,940,7.6808,0.0369,0.0270
313,943,12.9854,0.0212,0.0243
314,946,6.2933,0.0374,0.0203
315,949,13.3830,0.0276,0.0256
316,952,12.6309,0.0349,0.0333
317,955,4.6580,0.0288,0.0251
318,958,15.6371,0.0195,0.0237
319,961,8.6207,0.0209,0.0198
320,964,22.5970,0.0240,0.0272
321,967,9.6539,0.0221,0.0248
322,970,19.1444,0.0227,0.0248
323,973,25.0423,0.0291,0.0273
324,976,15.8144,0.0266,0.0278
325,979,8.1549,0.0198,0.0196
326,982,14.2800,0.0243,0.0260
327,985,9.3543,0.0293,0.0273
328,988,27.3803,0.0302,0.0353
329,991,5.8952,0.0198,0.0187
330,994,15.3399,0.0251,0.0232
331,997,4.2326,0.0199,0.0178
332,1000,6.8723,0.0250,0.0227
333,1003,6.1232,0.0250,0.0242
