,true,optimal,backpack,backpack_relaxed
0,11,12.85,12.31,11.7
1,21,22.37,23.0,21.82
2,31,31.57,34.02,31.74
3,41,40.89,45.18,42.06
4,51,50.03,56.48,52.44
5,61,58.99,67.21,61.94
6,71,68.32,77.77,72.13
7,81,77.46,88.62,81.56
8,91,86.75,99.36,92.09
9,101,95.72,110.88,101.94
10,111,104.88,121.86,111.96
11,121,114.75,132.46,122.31
12,131,123.14,143.71,131.67
13,141,132.85,154.72,142.41
14,151,141.98,165.14,152.62
15,161,150.53,177.27,162.27
16,171,160.45,187.7,172.43
17,181,169.3,199.3,183.55
18,191,178.83,209.07,192.82
19,201,187.3,219.58,202.04
20,211,197.22,231.15,212.38
21,221,205.8,240.83,221.08
22,231,214.06,251.66,231.13
23,241,224.26,262.49,240.96
24,251,233.46,275.74,254.24
25,261,243.23,288.93,264.73
26,271,251.96,296.69,271.68
27,281,262.0,308.92,285.84
28,291,270.78,319.63,293.6
29,301,278.45,329.77,299.8
30,311,289.36,340.42,312.05
31,321,297.64,350.07,321.14
32,331,306.8,361.43,329.31
33,341,317.18,373.31,343.06
34,351,325.28,386.31,353.24
35,361,334.78,392.63,362.95
36,371,344.51,407.27,374.47
37,381,352.89,417.41,382.23
38,391,362.87,426.85,393.77
39,401,370.74,439.46,400.71
40,411,380.3,450.05,411.41
41,421,389.62,461.61,422.98
42,431,398.84,471.76,432.63
43,441,408.12,481.61,443.65
44,451,417.62,493.65,453.28
45,461,427.11,506.02,464.55
46,471,435.72,516.06,472.76
47,481,444.31,529.14,483.93
48,491,455.54,539.24,495.79
49,501,462.08,547.85,502.28
50,511,472.07,562.16,513.54
51,521,480.97,574.05,523.61
52,531,490.28,582.39,533.92
53,541,500.83,590.72,544.6
54,551,510.84,603.77,553.92
55,561,517.53,613.44,561.94
56,571,526.36,623.1,570.92
57,581,535.44,637.86,581.93
58,591,547.51,649.82,599.54
59,601,555.85,658.87,602.95
60,611,564.76,668.73,612.8
61,621,573.96,680.33,626.57
62,631,582.87,690.28,633.04
63,641,591.09,700.16,638.36
64,651,601.43,708.56,651.88
65,661,609.9,725.19,660.41
66,671,620.21,728.21,669.08
67,681,627.96,745.57,682.68
68,691,637.08,760.81,695.72
69,701,648.39,772.32,708.46
70,711,656.51,780.41,717.41
71,721,667.83,787.11,726.5
72,731,672.95,806.02,731.79
73,741,682.78,810.36,735.43
74,751,692.48,822.19,751.8
75,761,704.2,829.97,762.79
76,771,711.85,842.34,770.72
77,781,719.21,853.2,780.24
78,791,730.87,866.71,795.09
79,801,739.77,875.13,802.79
80,811,746.34,889.72,813.2
81,821,758.32,899.03,825.27
82,831,765.14,910.02,831.37
83,841,775.08,918.75,840.72
84,851,786.66,930.65,853.32
85,861,793.21,942.11,864.03
86,871,800.62,962.67,873.26
87,881,812.02,961.82,878.33
88,891,818.84,976.13,894.47
89,901,831.65,987.66,901.81
90,911,841.05,994.32,915.34
91,921,850.54,1010.74,925.4
92,931,855.85,1022.29,930.47
93,941,868.38,1030.77,945.89
94,951,877.88,1038.61,955.03
95,961,886.42,1050.98,962.36
96,971,897.5,1069.17,980.71
97,981,902.5,1075.67,983.97
98,991,911.93,1092.57,995.74
99,1001,919.95,1097.0,1001.2
