,optimal,backpack,backpack_relaxed
0,2.8831,0.0000,0.0000
1,10.4540,0.0000,0.0000
2,7.5505,0.0000,0.0000
3,4.9621,0.0001,0.0001
4,7.1558,0.0001,0.0001
5,7.1140,0.0001,0.0001
6,5.4249,0.0002,0.0001
7,7.3256,0.0002,0.0002
8,7.8291,0.0002,0.0002
9,5.0243,0.0003,0.0003
10,3.4308,0.0003,0.0003
11,12.6243,0.0004,0.0004
12,6.0831,0.0004,0.0004
13,4.7681,0.0005,0.0005
14,1.3774,0.0006,0.0007
15,2.3012,0.0007,0.0006
16,1.8974,0.0007,0.0008
17,1.0404,0.0008,0.0008
18,12.6447,0.0009,0.0010
19,1.8262,0.0010,0.0010
20,1.2492,0.0013,0.0010
21,8.7802,0.0012,0.0014
22,7.8003,0.0013,0.0012
23,5.7565,0.0013,0.0013
24,1.8321,0.0026,0.0018
25,9.1363,0.0018,0.0020
26,12.8284,0.0017,0.0016
27,6.0107,0.0018,0.0017
28,5.5199,0.0024,0.0024
29,4.7986,0.0026,0.0025
30,4.2790,0.0025,0.0026
31,1.6930,0.0023,0.0021
32,9.7675,0.0026,0.0030
33,8.9608,0.0030,0.0035
34,2.3917,0.0028,0.0027
35,1.3879,0.0030,0.0028
36,15.0132,0.0031,0.0029
37,9.5275,0.0036,0.0035
38,6.3385,0.0044,0.0040
39,1.8023,0.0035,0.0032
40,2.0512,0.0051,0.0038
41,8.1326,0.0045,0.0038
42,11.8096,0.0043,0.0041
43,12.8270,0.0056,0.0046
44,10.9730,0.0046,0.0050
45,9.0307,0.0058,0.0051
46,7.3451,0.0052,0.0055
47,4.5107,0.0059,0.0049
48,10.4541,0.0062,0.0061
49,8.7250,0.0058,0.0053
50,5.6137,0.0089,0.0055
51,2.4531,0.0085,0.0062
52,1.4926,0.0088,0.0084
53,1.2998,0.0079,0.0067
54,1.8068,0.0071,0.0063
55,11.0517,0.0105,0.0067
56,8.0239,0.0104,0.0095
57,8.8325,0.0084,0.0098
58,6.8515,0.0094,0.0098
59,4.0014,0.0081,0.0074
60,8.3850,0.0112,0.0093
61,10.2595,0.0120,0.0113
62,6.5470,0.0093,0.0105
63,6.8812,0.0109,0.0084
64,1.2627,0.0095,0.0091
65,12.2367,0.0099,0.0105
66,10.1221,0.0132,0.0127
67,6.5342,0.0117,0.0123
68,5.2332,0.0126,0.0128
69,1.7913,0.0128,0.0120
70,11.6299,0.0115,0.0127
71,5.6468,0.0121,0.0116
72,4.4727,0.0150,0.0158
73,12.9273,0.0165,0.0139
74,10.0247,0.0156,0.0131
75,6.4088,0.0152,0.0126
76,7.3346,0.0149,0.0169
77,4.5402,0.0163,0.0172
78,0.9332,0.0151,0.0146
79,0.8867,0.0156,0.0148
80,3.4916,0.0157,0.0151
81,0.9852,0.0150,0.0155
82,1.0276,0.0158,0.0148
83,0.9495,0.0161,0.0146
84,0.9207,0.0160,0.0150
85,0.8980,0.0179,0.0160
86,0.9554,0.0177,0.0166
87,0.9374,0.0197,0.0180
88,0.9599,0.0183,0.0167
89,1.0062,0.0193,0.0176
90,0.9153,0.0187,0.0176
91,0.8805,0.0207,0.0187
92,0.9238,0.0218,0.0201
93,1.0351,0.0221,0.0206
94,0.9628,0.0222,0.0206
95,0.9229,0.0205,0.0189
96,0.9719,0.0217,0.0204
97,0.9566,0.0220,0.0207
98,0.9157,0.0224,0.0210
99,1.0247,0.0236,0.0213
