,true,optimal,backpack,backpack_relaxed
0,401,0.7701,0.0067,0.0071
1,801,1.0150,0.0178,0.0175
2,1201,1.5580,0.0407,0.0369
3,1601,0.9714,0.1215,0.1088
4,2001,1.0166,0.1637,0.1614
5,2401,0.9324,0.2198,0.2081
6,2801,0.8423,0.2358,0.2326
7,3201,0.7886,0.3203,0.3149
8,3601,1.1540,0.4195,0.4383
9,4001,1.0400,0.4288,0.4268
